ResultID,CandidateID,JobID,Score,Rank
R1,C19,JD001,60,1
R2,C9,JD001,60,2
R3,C18,JD001,58,3
R4,C8,JD001,58,4
R5,C7,JD001,56,5
R6,C17,JD001,56,6
R7,C6,JD001,54,7
R8,C16,JD001,54,8
R9,C25,JD001,52,9
R10,C5,JD001,52,10
R11,C15,JD001,52,11
R12,C4,JD001,50,12
R13,C24,JD001,50,13
R14,C14,JD001,50,14
R15,C13,JD001,48,15
R16,C23,JD001,48,16
R17,C3,JD001,48,17
R18,C12,JD001,46,18
R19,C2,JD001,46,19
R20,C22,JD001,46,20
R21,C21,JD001,44,21
R22,C11,JD001,44,22
R23,C1,JD001,44,23
R24,C20,JD001,42,24
R25,C10,JD001,42,25
R26,C47,JD001,12,26
R27,C35,JD001,12,27
R28,C46,JD001,11,28
R29,C34,JD001,11,29
R30,C45,JD001,10,30
R31,C33,JD001,10,31
R32,C32,JD001,9,32
R33,C44,JD001,9,33
R34,C31,JD001,8,34
R35,C43,JD001,8,35
R36,C30,JD001,7,36
R37,C42,JD001,7,37
R38,C29,JD001,6,38
R39,C41,JD001,6,39
R40,C28,JD001,5,40
R41,C40,JD001,5,41
R42,C27,JD001,4,42
R43,C39,JD001,4,43
R44,C50,JD001,3,44
R45,C38,JD001,3,45
R46,C26,JD001,3,46
R47,C37,JD001,2,47
R48,C49,JD001,2,48
R49,C36,JD001,1,49
R50,C48,JD001,1,50
